run_id,block,fs,arm,notch,seed,selection
b0-fs100-A-n0-s0,0,100,A,0,0,macro_all
b0-fs100-A-n0-s1,0,100,A,0,1,macro_all
b0-fs100-A-n0-s2,0,100,A,0,2,macro_all
b1-fs100-A-n1-s0,1,100,A,1,0,macro_clean
b1-fs100-A-n1-s1,1,100,A,1,1,macro_clean
b1-fs100-A-n1-s2,1,100,A,1,2,macro_clean
b1-fs100-A-n1-s3,1,100,A,1,3,macro_clean
b1-fs100-A-n1-s4,1,100,A,1,4,macro_clean
b1-fs240-A-n1-s0,1,240,A,1,0,macro_clean
b1-fs240-A-n1-s1,1,240,A,1,1,macro_clean
b1-fs240-A-n1-s2,1,240,A,1,2,macro_clean
b1-fs240-A-n1-s3,1,240,A,1,3,macro_clean
b1-fs240-A-n1-s4,1,240,A,1,4,macro_clean
b1-fs250-A-n1-s0,1,250,A,1,0,macro_clean
b1-fs250-A-n1-s1,1,250,A,1,1,macro_clean
b1-fs250-A-n1-s2,1,250,A,1,2,macro_clean
b1-fs250-A-n1-s3,1,250,A,1,3,macro_clean
b1-fs250-A-n1-s4,1,250,A,1,4,macro_clean
b1-fs500-A-n1-s0,1,500,A,1,0,macro_clean
b1-fs500-A-n1-s1,1,500,A,1,1,macro_clean
b1-fs500-A-n1-s2,1,500,A,1,2,macro_clean
b1-fs500-A-n1-s3,1,500,A,1,3,macro_clean
b1-fs500-A-n1-s4,1,500,A,1,4,macro_clean
b2-fs240-B-n1-s0,2,240,B,1,0,macro_clean
b2-fs240-B-n1-s1,2,240,B,1,1,macro_clean
b2-fs240-B-n1-s2,2,240,B,1,2,macro_clean
b2-fs240-B-n1-s3,2,240,B,1,3,macro_clean
b2-fs240-B-n1-s4,2,240,B,1,4,macro_clean
b2-fs250-B-n1-s0,2,250,B,1,0,macro_clean
b2-fs250-B-n1-s1,2,250,B,1,1,macro_clean
b2-fs250-B-n1-s2,2,250,B,1,2,macro_clean
b2-fs250-B-n1-s3,2,250,B,1,3,macro_clean
b2-fs250-B-n1-s4,2,250,B,1,4,macro_clean
b2-fs500-B-n1-s0,2,500,B,1,0,macro_clean
b2-fs500-B-n1-s1,2,500,B,1,1,macro_clean
b2-fs500-B-n1-s2,2,500,B,1,2,macro_clean
b2-fs500-B-n1-s3,2,500,B,1,3,macro_clean
b2-fs500-B-n1-s4,2,500,B,1,4,macro_clean
b3-fs100-A-n0-s0,3,100,A,0,0,macro_clean
b3-fs100-A-n0-s1,3,100,A,0,1,macro_clean
b3-fs100-A-n0-s2,3,100,A,0,2,macro_clean
b3-fs100-A-n0-s3,3,100,A,0,3,macro_clean
b3-fs100-A-n0-s4,3,100,A,0,4,macro_clean
