analysis,family,endpoint,a,b,diff,lo,hi,p_raw,p_holm,lo_simultaneous,hi_simultaneous
rates,"§8.1 — rate contro rate, Arm A",macro_clean,100,240,0.000121,-0.000871,0.001117,0.819718,1.000000,-0.001206,0.001478
rates,"§8.1 — rate contro rate, Arm A",macro_clean,100,250,-0.000245,-0.001172,0.000685,0.606739,1.000000,-0.001487,0.000971
rates,"§8.1 — rate contro rate, Arm A",macro_clean,100,500,-0.001392,-0.002621,-0.000149,0.029397,0.146985,-0.003102,0.000318
rates,"§8.1 — rate contro rate, Arm A",macro_clean,240,250,-0.000366,-0.001101,0.000348,0.325567,0.976702,-0.001354,0.000591
rates,"§8.1 — rate contro rate, Arm A",macro_clean,240,500,-0.001514,-0.002650,-0.000425,0.008199,0.049195,-0.003102,-0.000027
rates,"§8.1 — rate contro rate, Arm A",macro_clean,250,500,-0.001148,-0.002224,-0.000116,0.031397,0.146985,-0.002608,0.000212
rates,"§8.1 — rate contro rate, Arm A",macro_all,100,240,0.000734,-0.001052,0.002562,0.387161,0.852515,-0.001699,0.003049
rates,"§8.1 — rate contro rate, Arm A",macro_all,100,250,0.002126,-0.000259,0.004668,0.083392,0.416958,-0.000915,0.005548
rates,"§8.1 — rate contro rate, Arm A",macro_all,100,500,-0.000641,-0.003062,0.001982,0.672133,0.852515,-0.003926,0.003014
rates,"§8.1 — rate contro rate, Arm A",macro_all,240,250,0.001392,-0.000593,0.003604,0.192181,0.768723,-0.001115,0.004643
rates,"§8.1 — rate contro rate, Arm A",macro_all,240,500,-0.001375,-0.003689,0.001054,0.284172,0.852515,-0.004419,0.001865
rates,"§8.1 — rate contro rate, Arm A",macro_all,250,500,-0.002767,-0.005426,-0.000281,0.025797,0.154785,-0.006368,0.000374
