label,n_total,n_fold10
NDT,1825,182
NST_,767,77
DIG,181,18
LNGQT,117,11
NORM,9514,963
IMI,2676,267
ASMI,2357,234
LVH,2132,214
LAFB,1623,162
ISC_,1272,128
IRBBB,1118,112
1AVB,793,79
IVCD,787,79
ISCAL,659,66
CRBBB,541,54
CLBBB,536,54
ILMI,478,48
LAO/LAE,426,42
AMI,353,35
ALMI,288,27
ISCIN,218,22
INJAS,214,22
LMI,201,20
ISCIL,179,18
LPFB,177,18
ISCAS,169,17
INJAL,145,14
ISCLA,140,13
RVH,126,12
ANEUR,104,10
RAO/RAE,99,10
EL,96,9
WPW,79,8
ILBBB,77,8
IPLMI,51,5
ISCAN,44,4
IPMI,33,3
SEHYP,29,2
INJIN,18,2
INJLA,17,2
PMI,17,2
3AVB,16,2
INJIL,15,2
2AVB,14,1
ABQRS,3327,322
PVC,1143,114
STD_,1009,101
VCLVH,875,87
QWAVE,548,55
LOWT,438,44
NT_,423,42
PAC,398,40
LPR,340,34
INVT,294,29
LVOLT,182,18
HVOLT,62,6
TAB_,35,3
STE_,28,3
PRC(S),10,1
SR,16748,1674
AFIB,1514,152
STACH,826,82
SARRH,772,77
SBRAD,637,64
PACE,294,28
SVARR,157,14
BIGU,82,8
AFLT,73,7
SVTAC,27,3
PSVT,24,2
TRIGU,20,2
